Movie,Release Date,Release Month,Release Day,Release Year,Ownership,Domestic Box Office,Inflation Adjusted Domestic,International Box Office,Inflation Adjusted International,Worldwide Box Office,Inflation Adjusted Worldwide,Opening Weekend,Inflation Adjusted Opening Weekend,Budget,Inflation Adjusted Budget,IMDb Score,Meta Score,Tomatometer,Rotten Tomato Audience Score,Run Time In Minutes,Phase,Director
Iron Man,5/2/2008,May,2,2008,Marvel Studios,318604126,467231126,266567421,390919596.15346,585171547,858150722.15346,102118668,149756442,186000000,272767935,7.9,79,94,91,126,One,Jon Favreau
The Incredible Hulk,6/13/2008,June,13,2008,Marvel Studios,134806913,197704288,130766946,191779378.204918,265573859,389483666.204918,55414050,81268794,137500000,201653899,6.6,61,67,69,112,One,Louis Leterrier
Iron Man 2,5/7/2010,May,7,2010,Marvel Studios,312433331,416973763,308723058,412022029.810665,621156389,828995792.810665,128122480,170992360,170000000,226882130,6.9,57,72,71,124,One,Jon Favreau
Thor,5/6/2011,May,6,2011,Marvel Studios,181030624,240384926,268295994,356261892.262971,449326618,596646818.262971,65723338,87271973,150000000,199180327,7,57,77,76,115,One,Kenneth Brangh
Captain America: The First Avenger,7/22/2011,July,22,2011,Marvel Studios,176654505,234574020,193915271,257494054.045547,370569776,492068074.045547,65058524,86389190,140000000,185901643,6.9,66,80,75,124,One,Joe Johnston
The Avengers,5/4/2012,May,4,2012,Marvel Studios,623357910,824617936,891742301,1179654070.15451,1515100211,2004272006.15451,207438708,274413265,225000000,297644471,8,69,91,91,143,One,Joss Whedon
Iron Man 3,5/3/2013,May,3,2013,Marvel Studios,408992272,529727993,806400000,1044451650.55637,1215392272,1574179643.55637,174144585,225552578,200000000,259040588,7.1,62,79,78,130,Two,Shane Black
Thor: The Dark World,11/8/2013,November,8,2013,Marvel Studios,206362140,267262372,438240376,567570981.750489,644602516,834833353.750489,85737841,111040226,150000000,194267009,6.8,54,67,75,112,Two,Alan Taylor
Captain America: The Winter Soldier,4/4/2014,April,4,2014,Marvel Studios,259746958,334777900,454654931,585987317.028848,714401889,920765217.028848,95023721,122472432,170000000,219106485,7.7,70,90,92,132,Two,Anthony and Joe Russo
Guardians of The Galaxy,8/1/2014,August,1,2014,Marvel Studios,333714112,430014621,437168283,563322756.717779,770882395,993337377.717779,94320883,121539238,170000000,219057220,8,76,92,92,121,Two,James Gunn
Avengers: Age of Ultron,5/1/2015,May,1,2015,Marvel Studios,459005868,573348960,936311111,1169555857.89656,1395316979,1742904817.89656,191271109,238918713,365000000,455925262,7.3,66,76,82,141,Two,Joss Whedon
Ant-Man,7/17/2015,July,17,2015,Marvel Studios,180202163,225092376,338656286,423019051.458753,518858449,648111427.458753,57225526,71480993,130000000,162384338,7.3,64,83,85,117,Two,Peyton Reed
Captain America: Civil War,5/6/2016,May,6,2016,Marvel Studios,408084349,496777822,743815237,905476807.215838,1151899586,1402254629.21584,179139142,218073428,250000000,304335258,7.8,75,90,89,147,Three,Anthony and Joe Russo
Doctor Strange,11/4/2016,November,4,2016,Marvel Studios,232641920,283094491,443701254,539925825.307802,676343174,823020316.307802,85058311,103504731,165000000,200783208,7.5,72,89,86,115,Three,Scott Derrickson
Guardians of the Galaxy Vol. 2,5/5/2017,May,5,2017,Marvel Studios,389813101,457606675,479274862,562627001.114834,869087963,1020233676.11483,146510104,171990119,200000000,234782604,7.6,67,85,87,136,Three,James Gunn
Spider-Man: Homecoming,7/7/2017,July,7,2017,Marvel Studios,334201140,392323076,544070151,638691044.561082,878271291,1031014120.56108,117027503,137380112,175000000,205434782,7.4,73,92,87,133,Three,Jon Watts
Thor: Ragnarok,11/3/2017,November,3,2017,Marvel Studios,315058289,369781873,535424489,628424254.511482,850482778,998206127.511482,122744989,144064999,180000000,211264834,7.9,74,93,87,130,Three,Taika Waititi
Black Panther,2/16/2018,February,16,2018,Marvel Studios,700059566,809179714,636434754,735637533.194397,1336494320,1544817247.1944,202003951,233490845,200000000,231174532,7.3,88,96,79,134,Three,Ryan Coogler
Avengers Infinity War,4/27/2018,April,27,2018,Marvel Studios,678815482,784624259,1369544272,1583018785.04547,2048359754,2367643044.04547,257698183,297866285,300000000,346761799,8.4,68,85,92,149,Three,Anthony and Joe Russo
Ant-Man and the Wasp,7/6/2018,July,6,2018,Marvel Studios,216648740,250418353,406495920,469857515.846248,623144660,720275868.846248,75812205,87629254,130000000,150263444,7,70,87,80,118,Three,Peyton Reed
Captain Marvel,3/8/2019,March,8,2019,Marvel Studios,426829839,490667926,702746255,807851316.704963,1129576094,1298519242.70496,153433423,176381435,175000000,201173581,6.8,64,79,45,123,Three,Anna Boden & Ryan Fleck
Avengers: Endgame,4/26/2019,April,26,2019,Marvel Studios,858373000,986754117,1930539285,2219277152.82748,2788912285,3206031269.82748,357115007,410526314,400000000,459825329,8.4,78,94,90,181,Three,Anthony and Joe Russo
Spider-Man: Far From Home,7/2/2019,July,2,2019,Marvel Studios,390532085,448941359,741575437,852487919.111176,1132107522,1301429278.11118,92579212,106425666,160000000,183930131,7.4,69,90,95,129,Three,Jon Watts
Black Widow,7/9/2021,July,9,2021,Marvel Studios,183651655,185947301,196099476,198550719.783681,379751131,384498020.783681,80366312,81370891,200000000,202500000,6.7,68,79,91,134,Four,Cate Shortland
Shang-Chi and the Legend of the Ten Rings,9/3/2021,September,3,2021,Marvel Studios,224543292,227350082,207681342,210277357.711359,432224634,437627439.711359,75388688,76331046,150000000,151874999,7.4,71,92,98,132,Four,Destin Daniel Cretton
Eternals,11/5/2021,November,5,2021,Marvel Studios,164870264,166928942,236861495,239819102.618094,401731759,406748044.618094,71297219,72187483,200000000,202497331,6.3,52,47,77,156,Four,Chloe Zhao
Spider-Man: No Way Home,12/17/2021,December,17,2021,Marvel Studios,814115070,821277378,1093721184,1103343371.66683,1907836254,1924620749.66683,260138569,262427180,200000000,201759532,8.2,71,93,98,148,Four,Jon Watts
Doctor Strange in the Multiverse of Madness,5/6/2022,May,6,2022,Marvel Studios,411331607,411331607,540893379,540893379,952224986,952224986,187420998,187420998,200000000,200000000,6.9,60,73,85,126,Four,Sam Raimi
Thor: Love and Thunder,7/8/2022,July,8,2022,Marvel Studios,343256830,343256830,417671251,417671251,760928081,760928081,144165107,144165107,250000000,250000000,6.2,57,63,76,118,Four,Taika Waititi
Black Panther: Wakanda Forever,11/11/2022,November,11,2022,Marvel Studios,453829060,453829060,400156486,400156486,853985546,853985546,181339761,181339761,250000000,250000000,6.7,67,83,94,161,Four,Ryan Coogler
Ant-Man and the Wasp: Quantumania,2/17/2023,February,17,2023,Marvel Studios,214506909,214506909,249128394,249128394,463635303,463635303,106109650,106109650,200000000,200000000,6.1,48,46,82,124,Five,Peyton Reed
Guardians of the Galaxy Vol. 3,5/5/2023,May,5,2023,Marvel Studios,358995815,358995815,486472929,486472929,845468744,845468744,118414021,118414021,250000000,250000000,7.9,64,82,94,150,Five,James Gunn
The Marvels,11/10/2023,November,10,2023,Marvel Studios,84500223,84500223,115206027,115206027,199706250,199706250,46110859,46110859,274800000,274800000,5.7,50,62,82,105,Five,Nia DaCosta
Spider-Man,5/3/2002,May,3,2002,Sony Pictures,403706375,731674375,418000000,757580032.641298,821706375,1489254407.6413,114844116,208142606,139000000,251922547,7.4,73,90,67,121,,Sam Raimi
Spider-Man 2,6/30/2004,June,30,2004,Sony Pictures,373524485,633367601,421173072,714163030.620176,794697557,1347530631.62018,88156227,149482297,200000000,339130433,7.5,83,93,82,127,,Sam Raimi
Spider-Man 3,5/4/2007,May,4,2007,Sony Pictures,336530303,515067453,558329927,854536934.326434,894860230,1369604387.32643,151116516,231287341,258000000,394874998,6.3,59,63,51,139,,Sam Raimi
The Amazing Spider-Man,7/3/2012,July,3,2012,Sony Pictures,262030663,346631015,495859604,655954978.185198,757890267,1002585993.1852,62004688,82023789,220000000,291030151,6.9,66,71,77,136,,Marc Webb
The Amazing Spider-Man 2,5/2/2014,May,2,2014,Sony Pictures,202853933,261450655,506142403,652347533.17612,708996336,913798188.17612,91608337,118070472,200000000,257772330,6.6,53,51,64,142,,Marc Webb
Venom,10/5/2018,October,5,2018,Sony Pictures,213511408,246791473,642569645,742727101.470087,856081053,989518574.470087,80255756,92765236,116000000,134080943,6.6,35,30,80,112,,Ruben Fleischer
Venom: Let There be Carnage,10/1/2021,October,1,2021,Sony Pictures,213550366,216207983,287996556,291580649.801867,501546922,507788632.801867,90033210,91153666,110000000,111368941,5.9,49,57,84,97,,Andy Serkis
Ghost Rider,2/16/2007,February,16,2007,Sony Pictures,115802596,177238559,113742993,174086288.839907,229545589,351324847.839907,45388836,69468666,120000000,183662783,5.3,35,27,48,110,,Mark Steven Johnson
Ghost Rider: Spirit of Vengeance,2/17/2012,February,17,2012,Sony Pictures,51774002,68489974,97443353,128904323.70754,149217355,197394297.70754,22115334,29255584,57000000,75403260,4.3,34,19,31,96,,"Mark Neveldine, Brian Taylor"
X-Men,7/14/2000,July,14,2000,20th Century Fox,157299717,307303519,139572650,272671606.276033,296872367,579975125.276033,54471475,106416440,75000000,146521331,7.3,64,82,83,104,,Brian Singer
X2,5/2/2003,May,2,2003,20th Century Fox,214949694,375359909,191398936,334233958.945095,406348630,709593867.945095,85558731,149408529,125000000,218283580,7.4,68,85,85,134,,Brian Singer
X-Men: The Last Stand,5/26/2006,May,26,2006,20th Century Fox,234362462,376768960,224898484,361554351.320378,459260946,738323311.320378,102750665,165185418,210000000,337603048,6.6,58,57,61,104,,Brett Ratner
X-Men Origins: Wolverine,5/1/2009,May,1,2009,20th Century Fox,179883157,252555953,194942603,273699415.231887,374825760,526255368.231887,85058003,119421436,150000000,210600000,6.5,40,38,58,107,,Gavin Hood
The Wolverine,7/26/2013,July,26,2013,20th Century Fox,132556852,171688017,283900000,367708098.75826,416456852,539396115.75826,53113752,68793085,115000000,148948332,6.7,61,71,69,126,,James Mangold
Logan,3/3/2017,March,3,2017,20th Century Fox,226277068,265629601,387925247,455390506.378828,614202315,721020107.378828,88411916,103787901,127000000,149086956,8.1,77,93,90,137,,James Mangold
X-Men: First Class,6/3/2011,June,3,2011,20th Century Fox,146408305,194411031,209000000,277524594.516684,355408305,471935625.516684,55101604,73167705,160000000,212459020,7.7,65,86,87,131,,Matthew Vaughn
X-Men: Days of Future Past,5/23/2014,May,23,2014,20th Century Fox,233921534,301492496,513941241,662399159.653371,747862775,963891655.653371,90823660,117059133,200000000,257772331,7.9,75,90,91,132,,Brian Singer
X-Men: Apocalypse,5/27/2016,May,27,2016,20th Century Fox,155442489,189226511,387095057,471226673.817968,542537546,660453184.817968,65769562,80063983,178000000,216686693,6.9,52,47,65,144,,Brian Singer
Dark Phoenix,6/7/2019,June,7,2019,20th Century Fox,65845974,75694115,180510921,207508729.583526,246356895,283202844.583527,32828348,37738264,200000000,229912660,5.7,43,22,64,113,,Simon Kinberg
Deadpool,2/12/2016,February,12,2016,20th Century Fox,363070709,441980871,418876982,509916136.876278,781947691,951897007.876278,132434639,161218120,58000000,70605780,8,65,85,90,108,,Tim Miller
Deadpool 2,5/18/2018,May,18,2018,20th Century Fox,324591735,375186217,461770635,533747347.77932,786362370,908933564.77932,125507153,145070095,110000000,127145825,7.6,66,84,85,119,,David Leitch
The New Mutants,8/28/2020,August,28,2020,20th Century Fox,23855569,26694908,20752678,23222704.5166529,44608247,49917612.5166529,7037017,7874577,67000000,74974478,5.3,43,36,56,94,,Josh Boone
Fantastic Four (2005),7/8/2005,July,8,2005,20th Century Fox,154696080,254126313,178436670,293126064.028886,333132750,547252377.028886,56061504,92094792,87500000,143740245,5.7,40,28,45,106,,Tim Story
Fantastic Four: Rise of the Silver Surfer,6/15/2007,June,15,2007,20th Century Fox,131921738,201909286,157558953,241147639.391603,289480691,443056925.391603,58051684,88849452,120000000,183662789,5.6,45,38,51,92,,Tim Story
Fantastic Four (2015),8/7/2015,August,7,2015,20th Century Fox,56117548,70097010,111731639,139565146.65073,167849187,209662156.65073,25685737,32084320,120000000,149893242,4.3,27,9,18,100,,Josh Trank
Elektra,1/14/2005,January,14,2005,20th Century Fox,24409722,40098956,32414911,53249442.5759096,56824633,93348398.5759096,12804793,21035013,65000000,106778444,4.7,34,11,29,97,,Rob Bowman
Daredevil,2/14/2003,February,14,2003,20th Century Fox,102543518,179068526,80239000,140118846.495144,182782518,319187372.495144,40310418,70392817,80000000,139701488,5.3,42,43,35,103,,Mark Steven Johnson
The Punisher,4/16/2004,April,16,2004,Lionsgate Films,33664370,57083056,20869404,35387246.433503,54533774,92470302.433503,13834527,23458543,33000000,55956516,6.4,33,29,63,124,,Jonathan Hensleigh
Punisher: Warzone,12/5/2008,December,5,2008,Lionsgate Films,8050977,11807352,2106557,3089421.32204129,10157534,14896773.3220413,4271451,6264398,35000000,51330083,5.9,30,29,42,103,,Lexi Alexander
Blade,8/21/1998,August,21,1998,New Line Cinema,70141876,157482710,61095812,137172465.182005,131237688,294655175.182005,17073856,38334263,45000000,101034109,7.1,47,58,78,120,,Stephen Norrington
Blade II,3/22/2002,March,22,2002,New Line Cinema,81676888,148030572,72661713,131691537.242333,154338601,279722109.242333,32528016,58953529,54000000,97869190,6.7,52,57,68,117,,Guillermo del Toro
Blade: Trinity,12/8/2004,December,8,2004,New Line Cinema,52397389,88619322,78955776,133537328.302826,131353165,222156650.302826,16061271,27164311,65000000,109934026,5.8,38,24,58,113,,David S. Goyer
Morbius,4/1/2022,April,1,2022,Sony Pictures,73865530,73865530,88893907,88893907,162759437,162759437,39005895,39005895,75000000,75000000,5.2,35,15,71,104,,Daniel Espinosa
